day,cases,recovered,tests,hospitalized,quaran,supervised
2020-10-04,-433.0,-0.16984942983768378,-0.7774182782019146,-0.725196177063504,-0.045921176750964084,-0.1705468238244369
2020-10-05,72.0,-0.2919178075925807,0.5169948082573758,0.49810709396565667,0.005185554814519792,-0.38465232459455534
2020-10-06,230.0,-0.0925154676884446,1.9028420426976276,-0.40327426363477753,-0.6995257283543721,0.35130245569388635
2020-10-07,767.0,0.23183983193288474,-0.030738355759930863,-0.8636225998378564,0.7619770311025239,0.3755011118005828
2020-10-08,1277.0,-0.15805201979659644,-1.3245702929735794,-0.44190489324622473,0.46245039921690406,1.0412271836054598
2020-10-09,459.0,0.02413769502283376,-0.28654088204988787,-0.28416315566614875,0.46398547320531786,1.3484449046122147
2020-10-10,561.0,-0.31435998102714924,0.24966615526219169,-0.6672502326463333,0.747225344482157,0.13430363734579326
2020-10-11,-1122.0,0.006605045609642882,-0.6272880564111408,-0.21977877298040344,0.525500755228827,0.7048132579482342
2020-10-12,216.0,-0.41323014357629956,0.8134777817422523,0.0023473472854178582,-1.5977686565503602,-0.4159527602108258
2020-10-13,674.0,-0.19223306422025346,0.9324196606835878,0.02810110035971598,1.1934825851627449,-0.1268840312840933
2020-10-14,1458.0,0.49574357448507134,1.9654124448117178,0.15365064659691932,1.5592046026950865,0.7824067748120979
2020-10-15,1573.0,-0.19619677840214222,-1.3625387103555042,0.11502001698547214,0.3960678094252536,1.4234081327688286
2020-10-16,-394.0,0.1490360827518664,-0.21409094275988869,0.404749739071326,0.4064389190542932,1.0748948790582549
2020-10-17,1917.0,0.0009532482066120137,-1.1695003025948512,0.5077647513685185,-0.45121815052119335,0.07459608369122706
2020-10-18,-1086.0,-0.06494473640941263,-0.15733203310221555,-0.34532831921760676,-0.7840671202040883,0.24582787853317684
2020-10-19,-1054.0,-0.9470689563413085,0.5002383383413733,0.5818067914571255,-0.7543016611604548,-0.5811348910261015
2020-10-20,1809.0,0.23005697222395347,1.6842330681287396,0.22769268668552642,1.5195922056282134,-0.5280030591396593
2020-10-21,749.0,0.4654387906685029,-0.9216401493286641,0.7910560351857978,1.4325422782364552,1.2114068629645098
2020-10-22,2067.0,0.11740308122422739,1.1183874192889334,0.9359208962287248,0.5794529897972243,1.4252493348639035
2020-10-23,1525.0,-0.42094856232184713,-0.691892480884977,0.6494103932771581,2.803700317350851,1.3226680752811686
2020-10-24,-4.0,0.6734503329499895,-0.2118632039849288,0.27276175456554813,-1.409029437633434,-2.2747777896241272
2020-10-25,-1886.0,-0.8267578831376028,-0.33961917981849693,-0.03628328232602932,-0.19429918202130297,1.3345043744637917
2020-10-26,-1501.0,-0.535157954248553,1.4800559664932875,1.9403172661263515,-0.3335416250191305,0.03987627275553215
2020-10-27,6059.0,0.6127945839335779,-0.5646207960894436,0.7524254055743506,1.2038162539627988,-1.8986465044874326
2020-10-28,2520.0,0.08059901292838346,0.6693527688231093,0.9455785536315865,0.17838682970237943,0.4509903976986467
2020-10-29,1336.0,0.7439426313721763,0.9467546754094165,1.3093503158060475,0.07890654708736795,0.13298849299216847
2020-10-30,1473.0,-0.33350944864033644,-1.8035341295899512,0.9455785536315865,0.12978863367893761,-0.15660629367601395
2020-10-31,268.0,-0.06558372375564012,-0.9877943051242115,-0.396835825366203,-2.6423303444224735,-0.17028379495371193
2020-11-01,-4726.0,0.3357321353013153,1.4205850270226197,1.254623590523164,-0.3310705303060741,-0.3885977576554298
2020-11-02,-1593.0,0.7476516559853337,0.03929012833989456,1.7085334884576684,-0.7034195745688852,-0.044029937005730505
2020-11-03,3786.0,-2.077428367572125,0.28221051301812716,0.2824194119684099,-0.6921873258731744,-0.8333795780513394
2020-11-04,5328.0,1.6644730106007763,-0.22610136050315058,0.1729659614026429,0.6583782572990852,-0.2315695218326279
2020-11-05,2451.0,-0.2973458549746425,1.4974904438625387,-0.13285985635464728,-0.08366153236855217,-0.038769359591231276
2020-11-06,-57.0,1.1393391133406727,-1.5996476025773199,1.170923893031695,0.12286208031658266,2.649385699217873
2020-11-07,789.0,0.38302905015959304,-0.5940656912019566,-1.4205475100695533,-1.4706570421439003,-2.5656877206459345
2020-11-08,-3090.0,-4.003343218963214,-1.740866869268254,1.1161971677488116,-1.3493113154012386,-0.4046425187696524
2020-11-09,-3072.0,0.5596108661354859,1.0529112709466346,0.8586596370058304,0.9694366645123013,-0.9911969004863161
2020-11-10,3741.0,0.629119535757347,-0.17447593584864585,-1.6909619173496833,0.6960811720876875,-0.3715008810583073
2020-11-11,-233.0,0.43038897885365024,0.34875210164410236,-0.09101000760891283,-1.189813383922146,-2.2561027398026554
2020-11-12,-2538.0,-0.6442570681996849,-0.0069112366886209696,-0.02340640578888026,0.7836927119142313,0.7084956621383838
2020-11-13,1368.0,0.8803310826355262,-0.1784471223605308,-1.2370520194151793,0.17554132669946604,0.04855622548945587
2020-11-14,1520.0,0.6949233271795336,-0.9541845070845996,-2.3766555929528708,-1.3377420992446565,-0.19080004687025892
2020-11-15,-3717.0,-1.857421450705642,-1.150322377488675,0.20515815274551555,0.3151956188161363,-0.3715008810583073
2020-11-16,-1038.0,-1.119047635016391,0.6299314783270804,0.5431761618456784,-0.47248454138507234,-0.7707787068187986
2020-11-17,-1664.0,3.091919365511627,1.4194227285313363,-2.0193222690469845,-0.17220909291973852,0.003841317466212456
2020-11-18,731.0,0.08614073882288259,0.06050207580581677,-2.196379321432784,0.5019504737968202,-0.251559716007725
2020-11-19,4092.0,0.12350518185735421,-0.32325014273292224,-0.9634183930007616,-1.1417019186755184,-0.41674184682300064
2020-11-20,-1511.0,0.42300462697672353,-1.1116759526535016,-1.8390459975268976,-0.8145813958274358,-0.05034262990312958
